"text","toss","non_comp","coder1nonc","coder2nonc"
"WH economic advisor Larry Kudlow says at the WH from his understanding Pres Trump has a “rather light case” of the coronavirus.

“Clearly he’s doing OK,” he says, adding that he hopes this is over soon. 

Kudlow was talking w/o a mask &amp; put one on after a reporter asked about it.",NA,0,0,0
"Check the stats. U.S. deaths this year are pretty much in line with years past.  But deaths from pneumonia, heart disease and the flu are down. So what do you think is going on?  Yup. Deaths previously attributed to other causes are now blamed on Covid.  Why?  Because $$$$$$$",NA,1,1,1
"Please wear a mask. https://t.co/aAqlmJP5RT",NA,0,0,0
"Auwe! Auwe! Our seniors/kupuna aged 65 to 75 continue to suffer severe illness and hospitalization, dying every day from COVID, because our state leaders refuse to let them get vaccinated. Their lives are precious. Politicians'/leaders' talk is cheap.",NA,0,0,0
"Vaccine reserve was exhausted when Trump administration vowed to release it.
Where did the doses go?
Where did the money go?
Someone may want to check Kushner’s bank account before he leaves
#CovidVaccine
#Fresh
#OneV1  https://t.co/5k66D6DOKz",NA,0,0,0
"Horowitz: Did WHO official just admit that COVID-19 death rate is similar to that of the flu? https://t.co/25lkfSprVa 

cc: @RMConservative",NA,1,1,0
"There is an epidemic of people believing election propaganda, not wearing masks &amp; viewing hacks like Kristi Noem or Pompeo as future candidates. Indicting Trump will expose his  crime &amp; traitorous activities. It will be a giant step to cut off this propaganda &amp; educate the public",NA,0,0,0
"Cambridgeshire heroes helping out with homeschooling during lockdown https://t.co/21C2uJUiX4",NA,0,0,0
"Breaking: @RepJayapal tests positive for coronavirus Monday night, her office says, after she was in lockdown during the siege of the Capitol with “Republican lawmakers who cruelly and selfishly refused to wear masks.”
https://t.co/vPkTYySNSg",NA,0,0,0
"@Michael89541443 And lockdowns don’t work but they insist on repeating them over and over",NA,1,1,1
"REPORT: Twitter removes TOP WHITE HOUSE CORONAVIRUS ADVISER Dr. Scott Atlas' tweet claiming masks don't work..",NA,0,0,0
"Fauci studied coronaviruses for DECADES. What he told us in the beginning was the truth. ""No masks needed.""

But then they used him to punish us for electing @realDonaldTrump, and intimidate us to not do it again. 

This is the biggest scam since Satan beguiled Eve in the garden.",NA,1,1,1
"Armed German police treat lockdown skeptic doctor like a literal terrorist. Chilling. https://t.co/UScPd4r6eX",NA,1,1,1
"Also curious - why hasn't the homeless population been decimated by COVID since most of them aren't don't social distancing, don't wear masks or talk behind plexiglass, don't use hand sanitizer and don't wash their hands all throughout the day?

Why don't we ever hear about them.",NA,1,1,1
"Today everyone in Congress has to wear a mask the whole time. Including Pence. Which is awesome, because it ruins the visual element for their attempted coup.",NA,0,0,0
"And in the fourth year of the climate change denying president’s term, baseball players were forced to play in smoke-filled empty stadiums wearing masks because of wildfires and his refusal to deal with a pandemic that has killed 200,000 Americans https://t.co/3Aqtq4iuAI",NA,0,0,0
"@scottbudman @NBCian And after all the nursing homes and seniors are vaccinated, COVID-19 becomes a very minor health issue.",NA,1,1,1
"🙋‍♂️Raise your hand if you are absolutely Livid that Trump KNEW that coronavirus was 5x deadlier than the flu and Lied about it from the very fcking beginning.",NA,0,0,0
"The Missouri Office of Administration has just announced all state offices will be closed tomorrow due to inclement weather. Visit https://t.co/TU4NiEqcyS for additional details. #mowx #StayHome #StayWarm",NA,0,0,0
"So to recap we told people to stay home for the last 325 days and gave them $1,800. That's $5.54 a day.

Meanwhile, they pumped about $3 trillion in to the stock market for corporations, which then turned around and did record layoffs anyway.",NA,0,0,0
"Yesterday. Record number of new Covid cases. Hospitalization up. This is a crisis. Get that joke out of the Oval Office. Vote. And wear a mask.",NA,0,0,0
"Lockdown bambino bust: 9 months on, Italian births fall 22 percent https://t.co/xUnLlpsO51",NA,0,0,0
"“6 dicks in” will forever be burned in my brain - wear a mask, everyone !!! https://t.co/FpFJTkYBdE",NA,0,0,0
"@Booker4KY In Lexington, tonight, two peaceful protesters were arrested. Interesting to see cops so ready to take action against a peaceful protest but when my friend called to shutdown a covid frat party where underage drinking was occurring she was told there was nothing they could do.",NA,0,0,0
"Dr. Fauci is now calling for lockdowns until “at least the end of winter.”

RT if you've had ENOUGH of Fauci!",NA,1,1,1
"Watching people filling up airports on the news has me FUMING! How stupid and selfish can people be? Merry fvcking Christmas, assholes! 🤬 #StayAtHome  #COVID19 #Christmas",NA,0,0,0
"Hey Stolen Valor Blumenthal, no one cares what you have 2 say,  you and the Dems have proved that you are not interested on improving the Country, just embarrassing it. So stay home like sleepy Joe. The confirmation will continue with you🤣🤣 #FillTheSeat
https://t.co/zDZOtuIGPv",NA,0,0,0
"If lockdowns work, why do we need a second one?",NA,1,1,1
"@MollyGrantham @WBTV_News @komencharlotte Are lockdowns throwing Charlotte's working class under the bus? https://t.co/tJw7k55Yse",NA,0,0,0
"Yesterday, 482,110 received their first COVID vaccine, meaning 16.4 MILLION people have had their first dose.

A fantastic team effort by our NHS, armed forces, councils &amp; volunteers.

As we roll-out the vaccine, it's vital we stay at home to protect our NHS &amp; save lives.",NA,0,0,0
"""A pastor who opened his large church for in-person services that encouraged unmasked congregants to gather has spent the past two weeks in the ICU while his wife recovers from her own bout with COVID-19 at home. Five other church staff have been infected""
https://t.co/27i65yqJTu",NA,0,0,0
"Shocking thread. Anti-lockdown protesters kicking in doors in and assaulting reporters in Oregon https://t.co/fHJg7KteFW",NA,0,0,0
